English_Na,Enw_Cymrae,,No_Rhif,Segment,q,r,name,id,MS,Party
Clwyd,Clwyd,,2,1,6,13,Clwyd,2_1,,
Clwyd,Clwyd,,2,2,7,13,Clwyd,2_2,,
Clwyd,Clwyd,,2,3,8,12,Clwyd,2_3,,
Clwyd,Clwyd,,2,4,7,12,Clwyd,2_4,,
Clwyd,Clwyd,,2,5,6,11,Clwyd,2_5,,
Clwyd,Clwyd,,2,6,7,11,Clwyd,2_6,,
Fflint Wrecsam,Fflint Wrecsam,,3,1,8,13,Fflint Wrecsam,3_1,,
Fflint Wrecsam,Fflint Wrecsam,,3,2,9,13,Fflint Wrecsam,3_2,,
Fflint Wrecsam,Fflint Wrecsam,,3,3,9,12,Fflint Wrecsam,3_3,,
Fflint Wrecsam,Fflint Wrecsam,,3,4,10,12,Fflint Wrecsam,3_4,,
Fflint Wrecsam,Fflint Wrecsam,,3,5,8,11,Fflint Wrecsam,3_5,,
Fflint Wrecsam,Fflint Wrecsam,,3,6,9,11,Fflint Wrecsam,3_6,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,1,6,10,Gwynedd Maldwyn,4_1,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,2,7,10,Gwynedd Maldwyn,4_2,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,3,8,10,Gwynedd Maldwyn,4_3,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,4,9,10,Gwynedd Maldwyn,4_4,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,5,7,9,Gwynedd Maldwyn,4_5,,
Gwynedd Maldwyn,Gwynedd Maldwyn,,4,6,8,9,Gwynedd Maldwyn,4_6,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,1,2,5,Gŵyr Abertawe,7_1,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,2,3,5,Gŵyr Abertawe,7_2,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,3,2,4,Gŵyr Abertawe,7_3,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,4,3,4,Gŵyr Abertawe,7_4,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,5,1,3,Gŵyr Abertawe,7_5,,
Gŵyr Abertawe,Gŵyr Abertawe,,7,6,2,3,Gŵyr Abertawe,7_6,,
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,1,4,2,Pen-y-bont Bro Morgannwg,16_1,,
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,2,4,1,Pen-y-bont Bro Morgannwg,16_2,,
